cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL
FALSE,TRUE,0,6013074,6013072,38.70871,-91.451614,5.430192,0.44158193,0.055,0.11,9.05032,30,257,152.7,1.00E-05,Hermann,0
FALSE,FALSE,1,6013072,6013064,38.7096,-91.43929,174.4813,0.09554052,0.04,0.08,290.80215,872.40643,1951,152.7,1.00E-05,,257
FALSE,FALSE,2,6013064,6013076,38.709946,-91.42221,174.48288,0.095540136,0.04,0.08,290.8048,872.41437,1013,152.7,1.00E-05,,2208
FALSE,FALSE,3,6013076,6013078,38.70528,-91.38584,174.53157,0.09552838,0.04,0.08,290.88596,872.6579,5474,152.7,0.00018,,3221
FALSE,FALSE,4,6013078,6013080,38.696106,-91.355316,174.53159,0.09552837,0.04,0.08,290.88596,872.6579,194,151.73,1.00E-04,,8695
FALSE,FALSE,5,6013080,6018236,38.697533,-91.34143,174.53445,0.09552768,0.04,0.08,290.89078,872.6723,2443,151.71,0.00013,,8889
FALSE,FALSE,6,6018236,6013060,38.70741,-91.32753,174.53456,0.09552766,0.04,0.08,290.89093,872.6728,724,151.39,0.00015,,11332
FALSE,FALSE,7,6013060,6013070,38.708225,-91.32039,174.53986,0.095526375,0.04,0.08,290.89978,872.6993,570,151.28,0.00033,,12056
FALSE,FALSE,8,6013070,6013096,38.706013,-91.31227,174.54503,0.09552513,0.04,0.08,290.90836,872.7251,985,151.09,6.00E-05,,12626
FALSE,FALSE,9,6013096,6013102,38.68469,-91.28344,174.5455,0.09552501,0.04,0.08,290.90915,872.7275,5924,151.03,0.00019,,13611
FALSE,FALSE,10,6013102,6013108,38.66151,-91.25047,174.5461,0.09552487,0.04,0.08,290.91016,872.73047,1808,149.88,0.00011,,19535
FALSE,FALSE,11,6013108,6013110,38.653454,-91.23581,174.5472,0.0955246,0.04,0.08,290.912,872.736,1401,149.68,0.00024,,21343
FALSE,FALSE,12,6013110,6013118,38.63518,-91.22683,174.54785,0.095524445,0.04,0.08,290.9131,872.73926,3159,149.34,0.00018,,22744
FALSE,FALSE,13,6013118,6013128,38.61972,-91.22055,174.55637,0.09552239,0.04,0.08,290.92728,872.7818,1107,148.77,0.00014,,25903
FALSE,FALSE,14,6013128,6013136,38.613235,-91.198494,174.55664,0.09552232,0.04,0.08,290.92773,872.7832,3029,148.62,0.00013,,27010
FALSE,FALSE,15,6013136,6013150,38.605305,-91.1636,174.55688,0.09552226,0.04,0.08,290.92813,872.7844,3345,148.23,0.00023,,30039
FALSE,FALSE,16,6013150,6013148,38.59892,-91.13576,174.57619,0.095517606,0.04,0.08,290.96033,872.881,1687,147.45,0.00012,,33384
FALSE,FALSE,17,6013148,6013144,38.601337,-91.107635,174.57701,0.095517404,0.04,0.08,290.96167,872.885,3342,147.24,0.00021,,35071
FALSE,FALSE,18,6013144,6013250,38.60867,-91.06001,174.5801,0.09551666,0.04,0.08,290.96683,872.9005,5419,146.54,0.00019,,38413
FALSE,FALSE,19,6013250,6013162,38.58274,-91.02615,174.58058,0.09551655,0.04,0.08,290.96762,872.9029,3116,145.51,0.00015,,43832
FALSE,FALSE,20,6013162,6013168,38.56989,-91.01838,174.59157,0.095513895,0.04,0.08,290.98596,872.9579,115,145.03,0.00026,,46948
FALSE,FALSE,21,6013168,6010282,38.56324,-91.00963,174.59177,0.09551384,0.04,0.08,290.9863,872.95886,1998,145,0.0002,,47063
FALSE,FALSE,22,6010282,6010292,38.558254,-90.99916,174.59178,0.09551384,0.04,0.08,290.9863,872.95886,188,144.61,0.00059,,49061
FALSE,FALSE,23,6010292,6010310,38.553566,-90.98493,174.60966,0.09550952,0.04,0.08,291.0161,873.04834,2496,144.5,0.00015,,49249
FALSE,FALSE,24,6010310,6010314,38.545303,-90.96192,174.61057,0.095509306,0.04,0.08,291.0176,873.0528,1926,144.13,0.0005,,51745
FALSE,FALSE,25,6010314,6010302,38.53496,-90.92383,174.61499,0.09550824,0.04,0.08,291.02496,873.0749,5212,143.17,0.00066,,53671
FALSE,FALSE,26,6010302,6010298,38.543026,-90.891884,174.61516,0.095508195,0.04,0.08,291.02527,873.0758,765,139.73,1.00E-05,,58883
FALSE,FALSE,27,6010298,6010286,38.547436,-90.88513,174.61574,0.09550806,0.04,0.08,291.02625,873.07874,764,139.73,0.0006,,59648
FALSE,FALSE,28,6010286,6010276,38.557404,-90.86295,174.61679,0.09550781,0.04,0.08,291.02798,873.0839,3708,139.27,0.00015,,60412
FALSE,FALSE,29,6010276,6010272,38.565754,-90.842255,174.61864,0.09550736,0.04,0.08,291.03107,873.0932,384,138.7,1.00E-05,,64120
FALSE,FALSE,30,6010272,6010268,38.57439,-90.8298,174.62057,0.09550689,0.04,0.08,291.03427,873.10284,2517,138.7,7.00E-05,,64504
FALSE,FALSE,31,6010268,6010262,38.584923,-90.81345,174.62071,0.09550686,0.04,0.08,291.03452,873.1036,1171,138.52,0.00071,,67021
FALSE,FALSE,32,6010262,6010258,38.589794,-90.797295,174.62091,0.09550681,0.04,0.08,291.03485,873.10455,1848,137.69,1.00E-05,,68192
FALSE,FALSE,33,6010258,6010254,38.5946,-90.774315,174.62132,0.09550671,0.04,0.08,291.03555,873.1066,2444,137.69,0.00026,,70040
FALSE,FALSE,34,6010254,6010244,38.627365,-90.75039,174.62537,0.09550574,0.04,0.08,291.04227,873.12683,6123,137.05,0.00011,,72484
FALSE,FALSE,35,6010244,6010226,38.656376,-90.732056,174.63428,0.09550358,0.04,0.08,291.05713,873.1714,1283,136.38,7.00E-05,,78607
FALSE,FALSE,36,6010226,6010220,38.667274,-90.72322,174.63452,0.09550353,0.04,0.08,291.05753,873.1726,1595,136.29,0.0003,,79890
FALSE,FALSE,37,6010220,6010216,38.67265,-90.71592,174.63452,0.09550353,0.04,0.08,291.05753,873.1726,172,135.81,1.00E-05,,81485
FALSE,FALSE,38,6010216,6010208,38.676033,-90.70884,174.63464,0.0955035,0.04,0.08,291.05774,873.1732,1246,135.81,0.00018,,81657
FALSE,FALSE,39,6010208,6010206,38.6783,-90.697556,174.63483,0.09550345,0.04,0.08,291.05804,873.17413,806,135.58,0.00024,,82903
FALSE,FALSE,40,6010206,6010200,38.679783,-90.68653,174.635,0.09550341,0.04,0.08,291.05835,873.175,1123,135.39,1.00E-05,,83709
FALSE,FALSE,41,6010200,6018246,38.680843,-90.678024,174.6372,0.095502876,0.04,0.08,291.062,873.18604,385,135.39,0.0014,,84832
FALSE,FALSE,42,6018246,6010198,38.681793,-90.67516,174.63724,0.09550287,0.04,0.08,291.06207,873.1862,152,134.85,7.00E-05,,85217
FALSE,FALSE,43,6010198,6010168,38.684063,-90.668304,174.63733,0.09550285,0.04,0.08,291.06223,873.18665,1169,134.84,1.00E-05,,85369
FALSE,FALSE,44,6010168,6010162,38.688496,-90.65893,174.63765,0.09550277,0.04,0.08,291.06274,873.18823,727,134.84,1.00E-05,,86538
FALSE,FALSE,45,6010162,6010160,38.69093,-90.651054,174.63788,0.09550272,0.04,0.08,291.06314,873.1894,731,134.84,0.00044,,87265
FALSE,FALSE,46,6010160,6010154,38.69208,-90.640366,174.63794,0.095502704,0.04,0.08,291.06323,873.1897,1145,134.52,1.00E-05,,87996
FALSE,FALSE,47,6010154,6010158,38.692707,-90.629295,174.63806,0.095502675,0.04,0.08,291.06345,873.1903,780,134.52,5.00E-05,,89141
FALSE,FALSE,48,6010158,6010182,38.692142,-90.624016,174.6382,0.09550264,0.04,0.08,291.06366,873.191,154,134.48,6.00E-05,,89921
FALSE,FALSE,49,6010182,6010196,38.68768,-90.615364,174.63826,0.09550262,0.04,0.08,291.06378,873.1913,1641,134.47,6.00E-05,,90075
FALSE,FALSE,50,6010196,6010186,38.679565,-90.59143,174.63867,0.095502526,0.04,0.08,291.06445,873.19336,2965,134.37,0.00048,,91716
FALSE,FALSE,51,6010186,6010184,38.682114,-90.57142,174.63904,0.095502436,0.04,0.08,291.06506,873.1952,617,132.94,0.00047,,94681
FALSE,FALSE,52,6010184,6010180,38.681953,-90.56575,174.64412,0.095501214,0.04,0.08,291.07355,873.2206,363,132.65,0.00036,,95298
FALSE,FALSE,53,6010180,6010178,38.68196,-90.55982,174.64413,0.09550121,0.04,0.08,291.07355,873.2207,660,132.52,1.00E-05,,95661
FALSE,FALSE,54,6010178,6010172,38.682076,-90.55262,174.64418,0.0955012,0.04,0.08,291.07364,873.2209,583,132.52,1.00E-05,,96321
FALSE,FALSE,55,6010172,6010146,38.687965,-90.53799,174.64456,0.09550111,0.04,0.08,291.07425,873.2228,2562,132.52,0.00012,,96904
FALSE,FALSE,56,6010146,6010136,38.70779,-90.53063,174.64467,0.09550108,0.04,0.08,291.07443,873.2233,1987,132.21,9.00E-05,,99466
FALSE,FALSE,57,6010136,6010132,38.7194,-90.533394,174.64479,0.09550105,0.04,0.08,291.07465,873.22394,674,132.03,1.00E-05,,101453
FALSE,FALSE,58,6010132,6010128,38.724537,-90.53441,174.64548,0.09550089,0.04,0.08,291.0758,873.2274,497,132.03,1.00E-05,,102127
FALSE,FALSE,59,6010128,6010124,38.728596,-90.53375,174.64552,0.09550087,0.04,0.08,291.07587,873.2276,433,132.03,1.00E-05,,102624
FALSE,FALSE,60,6010124,6010120,38.734276,-90.52603,174.64616,0.095500715,0.04,0.08,291.07693,873.23083,1482,132.03,0.0011,,103057
FALSE,FALSE,61,6010120,6010116,38.739414,-90.516525,174.6462,0.09550071,0.04,0.08,291.077,873.231,526,130.4,6.00E-05,,104539
FALSE,FALSE,62,6010116,6010112,38.745007,-90.5032,174.64655,0.095500626,0.04,0.08,291.07758,873.2327,2154,130.37,0.00032,,105065
FALSE,FALSE,63,6010112,6010106,38.7658,-90.48145,174.6535,0.09549895,0.04,0.08,291.08917,873.2675,4096,129.69,1.00E-05,,107219
FALSE,FALSE,64,6010106,6010102,38.796425,-90.467865,174.65422,0.09549878,0.04,0.08,291.09036,873.27106,3072,129.69,0.00041,St. Charles,111315
FALSE,FALSE,65,6010102,6010096,38.830143,-90.426506,174.6549,0.09549861,0.04,0.08,291.09152,873.27454,7763,128.43,7.00E-05,,114387
FALSE,FALSE,66,6010096,6010062,38.832336,-90.35698,174.65758,0.095497966,0.04,0.08,291.09595,873.28784,6224,127.88,0.00022,,122150
FALSE,FALSE,67,6010062,6010056,38.89085,-90.32173,174.65956,0.09549749,0.04,0.08,291.09927,873.29785,8390,126.54,0.00018,,128374
FALSE,FALSE,68,6010056,6010058,38.87344,-90.27718,174.65994,0.09549739,0.04,0.08,291.0999,873.2997,1385,125.02,0.00014,,136764
FALSE,FALSE,69,6010058,6010064,38.86472,-90.271385,174.66,0.09549738,0.04,0.08,291.1,873.3,792,124.82,1.00E-05,,138149
FALSE,FALSE,70,6010064,6010074,38.85797,-90.26606,174.66031,0.0954973,0.04,0.08,291.10052,873.3016,998,124.82,0.0007,,138941
FALSE,FALSE,71,6010074,6010080,38.84904,-90.25028,174.66116,0.0954971,0.04,0.08,291.10193,873.30585,2415,124.12,0.00019,,139939
FALSE,FALSE,72,6010080,6010084,38.840157,-90.22967,174.66176,0.09549696,0.04,0.08,291.10294,873.3088,1668,123.65,0.00013,,142354
FALSE,FALSE,73,6010084,6010088,38.83473,-90.219215,174.66177,0.09549695,0.04,0.08,291.10294,873.30884,507,123.44,1.00E-05,,144022
FALSE,FALSE,74,6010088,6010094,38.828808,-90.2095,174.6672,0.09549564,0.04,0.08,291.11203,873.33606,1626,123.44,0.00015,,144529
FALSE,FALSE,75,6010094,6010092,38.819515,-90.17576,174.66777,0.09549551,0.04,0.08,291.11295,873.3388,5072,123.19,1.00E-05,,146155
FALSE,FALSE,76,6010092,6018266,38.82678,-90.13371,174.66908,0.095495194,0.04,0.08,291.1151,873.3454,3165,123.19,9.00E-05,,151227