xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
0,19088319,19088319,0,19086929,-91.1969223022461,30.462051391601562,4.96999979019165,10,0.0,3600.0,0.20000000298023224,8048.0,0.03999999910593033,7.000000186963007e-05,0.08457440882921219,230.02011108398438,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b'0' b'7' b'3' b'7' b'4' b'0' b'0'
 b'0']",0,608188,0.07999999821186066,1150.1005859375,383.3668518066406
1,19086929,19086929,0,19086933,-91.22332763671875,30.386564254760742,4.429999828338623,10,0.0,3600.0,0.20000000298023224,10250.0,0.03999999910593033,2.9999999242136255e-05,0.08457434177398682,230.02047729492188,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,655217,0.07999999821186066,1150.1024169921875,383.3674621582031
2,19086933,19086933,0,19086935,-91.23401641845703,30.34148406982422,4.090000152587891,10,0.0,3600.0,0.20000000298023224,1180.0,0.03999999910593033,4.999999873689376e-05,0.08457434177398682,230.02052307128906,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585005,0.07999999821186066,1150.1026611328125,383.3675537109375
3,19086935,19086935,0,19086939,-91.18173217773438,30.346960067749023,4.03000020980835,10,0.0,3600.0,0.20000000298023224,9560.0,0.03999999910593033,2.9999999242136255e-05,0.08457428216934204,230.02088928222656,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,683157,0.07999999821186066,1150.1044921875,383.3681640625
4,19086939,19086939,0,19086947,-91.16149139404297,30.315099716186523,3.75,10,0.0,3600.0,0.20000000298023224,5111.0,0.03999999910593033,2.9999999242136255e-05,0.08457424491643906,230.0210723876953,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539956,0.07999999821186066,1150.1053466796875,383.36846923828125
5,19086947,19086947,0,19086949,-91.23004913330078,30.29418182373047,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,11605.0,0.03999999910593033,9.999999747378752e-06,0.0845741331577301,230.0217742919922,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,680585,0.07999999821186066,1150.10888671875,383.36962890625
6,19086949,19086949,0,19088289,-91.11234283447266,30.258699417114258,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,14098.0,0.03999999910593033,9.999999747378752e-06,0.08457405120134354,230.0222930908203,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585007,0.07999999821186066,1150.1114501953125,383.3704833984375
7,19088289,19088289,0,19086953,-91.15611267089844,30.21342658996582,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,8.0,0.03999999910593033,9.999999747378752e-06,0.08457405120134354,230.0222930908203,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,684300,0.07999999821186066,1150.1114501953125,383.3705139160156
8,19086953,19086953,0,25732008,-91.16539764404297,30.198909759521484,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3807.0,0.03999999910593033,9.999999747378752e-06,0.08457403630018234,230.02239990234375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539961,0.07999999821186066,1150.1119384765625,383.37066650390625
9,25732008,25732008,0,19086167,-91.0714111328125,30.212181091308594,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,19709.0,0.03999999910593033,9.999999747378752e-06,0.08457391709089279,230.0231475830078,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,685356,0.07999999821186066,1150.11572265625,383.37188720703125
10,19086167,19086167,0,25732010,-90.99944305419922,30.151275634765625,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,1458.0,0.03999999910593033,9.999999747378752e-06,0.0845739021897316,230.023193359375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539966,0.07999999821186066,1150.115966796875,383.3719787597656
11,25732010,25732010,0,25732012,-91.01321411132812,30.134315490722656,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3433.0,0.03999999910593033,9.999999747378752e-06,0.0845738872885704,230.0233154296875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,675759,0.07999999821186066,1150.1165771484375,383.3721923828125
12,25732012,25732012,0,25732014,-91.03006744384766,30.12392234802246,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,672.0,0.03999999910593033,9.999999747378752e-06,0.08457387983798981,230.0233612060547,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,635423,0.07999999821186066,1150.1168212890625,383.3722839355469
13,25732014,25732014,0,19086169,-91.01729583740234,30.114299774169922,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3385.0,0.03999999910593033,9.999999747378752e-06,0.08457385748624802,230.02349853515625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539971,0.07999999821186066,1150.1175537109375,383.37249755859375
14,19086169,19086169,0,19086175,-90.99908447265625,30.114103317260742,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,195.0,0.03999999910593033,9.999999747378752e-06,0.08457385748624802,230.0235137939453,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,666403,0.07999999821186066,1150.1175537109375,383.37249755859375
15,19086175,19086175,0,19086171,-90.97278594970703,30.10884666442871,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,5047.0,0.03999999910593033,9.999999747378752e-06,0.08457382768392563,230.023681640625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539975,0.07999999821186066,1150.118408203125,383.372802734375
16,19086171,19086171,0,19086177,-90.93991088867188,30.135997772216797,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6098.0,0.03999999910593033,9.999999747378752e-06,0.08457379788160324,230.0238494873047,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539977,0.07999999821186066,1150.1192626953125,383.3730773925781
17,19086177,19086177,0,19086181,-90.91178894042969,30.094728469848633,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6071.0,0.03999999910593033,9.999999747378752e-06,0.08457377552986145,230.0240020751953,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,666404,0.07999999821186066,1150.1199951171875,383.3733215332031
18,19086181,19086181,0,19086193,-90.8718490600586,30.063501358032227,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6136.0,0.03999999910593033,9.999999747378752e-06,0.08457374572753906,230.024169921875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,677533,0.07999999821186066,1150.120849609375,383.37359619140625
19,19086193,19086193,0,19088125,-90.83623504638672,30.027402877807617,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6101.0,0.03999999910593033,9.999999747378752e-06,0.08457372337579727,230.02432250976562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,681926,0.07999999821186066,1150.12158203125,383.3738708496094
20,19088125,19088125,0,19088123,-90.82833862304688,29.989168167114258,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,2484.0,0.03999999910593033,9.999999747378752e-06,0.08457370847463608,230.02439880371094,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539988,0.07999999821186066,1150.1219482421875,383.3739929199219
21,19088123,19088123,0,19086191,-90.80754852294922,29.989336013793945,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3348.0,0.03999999910593033,9.999999747378752e-06,0.08457369357347488,230.02450561523438,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,675760,0.07999999821186066,1150.12255859375,383.3741760253906
22,19086191,19086191,0,19086189,-90.78421783447266,30.008991241455078,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,2848.0,0.03999999910593033,9.999999747378752e-06,0.08457367867231369,230.02459716796875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585011,0.07999999821186066,1150.1229248046875,383.37432861328125
23,19086189,19086189,0,19086187,-90.73978424072266,30.01455307006836,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6104.0,0.03999999910593033,9.999999747378752e-06,0.0845736414194107,230.02481079101562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539991,0.07999999821186066,1150.1240234375,383.3746643066406
24,19086187,19086187,0,19086185,-90.68528747558594,30.03859519958496,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6151.0,0.03999999910593033,9.999999747378752e-06,0.08457361906766891,230.02496337890625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539992,0.07999999821186066,1150.1248779296875,383.37493896484375
25,19086185,19086185,0,19086183,-90.63128662109375,30.037744522094727,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6109.0,0.03999999910593033,9.999999747378752e-06,0.08457358181476593,230.0251922607422,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539994,0.07999999821186066,1150.1259765625,383.3753356933594
26,19086183,19086183,0,19086179,-90.57679748535156,30.051483154296875,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6097.0,0.03999999910593033,9.999999747378752e-06,0.08457355201244354,230.0253448486328,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,650066,0.07999999821186066,1150.126708984375,383.3755798339844
27,19086179,19086179,0,19086195,-90.51493072509766,30.04986572265625,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,6117.0,0.03999999910593033,9.999999747378752e-06,0.08457352221012115,230.02554321289062,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539995,0.07999999821186066,1150.127685546875,383.3758850097656
28,19086195,19086195,0,22795715,-90.47370910644531,30.031545639038086,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,4874.0,0.03999999910593033,9.999999747378752e-06,0.08457348495721817,230.02578735351562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,679133,0.07999999821186066,1150.12890625,383.3763122558594
29,22795715,22795715,0,22799299,-90.47257995605469,30.004108428955078,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,1224.0,0.03999999910593033,9.999999747378752e-06,0.08457347750663757,230.02581787109375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,608198,0.07999999821186066,1150.129150390625,383.3763732910156
30,22799299,22799299,0,22799303,-90.46064758300781,29.997638702392578,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,1602.0,0.03999999910593033,9.999999747378752e-06,0.08457347005605698,230.02586364746094,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585015,0.07999999821186066,1150.1292724609375,383.3764343261719
31,22799303,22799303,0,22799305,-90.40877532958984,29.99085235595703,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,9044.0,0.03999999910593033,9.999999747378752e-06,0.0845734253525734,230.02613830566406,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,608200,0.07999999821186066,1150.1307373046875,383.37689208984375
32,22799305,22799305,0,22799307,-90.27140045166016,29.968860626220703,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,27760.0,0.03999999910593033,9.999999747378752e-06,0.08457330614328384,230.02688598632812,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,673789,0.07999999821186066,1150.1343994140625,383.3781433105469
33,22799307,22799307,0,22799309,-90.13834381103516,29.921445846557617,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,12374.0,0.03999999910593033,9.999999747378752e-06,0.08457325398921967,230.02720642089844,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,655218,0.07999999821186066,1150.135986328125,383.378662109375
34,22799309,22799309,0,22814383,-90.0578384399414,29.943872451782227,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,8968.0,0.03999999910593033,2.9999999242136255e-05,0.08457322418689728,230.0273895263672,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,540001,0.07999999821186066,1150.136962890625,383.37896728515625
35,22814383,22814383,0,22814607,-90.01398468017578,29.946697235107422,3.3499999046325684,10,0.0,3600.0,0.20000000298023224,3251.0,0.03999999910593033,7.999999797903001e-05,0.08457311987876892,230.0280303955078,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,655219,0.07999999821186066,1150.14013671875,383.3800354003906
36,22814607,22814607,0,22798749,-89.98153686523438,29.9289493560791,3.0899999141693115,10,0.0,3600.0,0.20000000298023224,4116.0,0.03999999910593033,9.999999747378752e-06,0.08457310497760773,230.02813720703125,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585018,0.07999999821186066,1150.140625,383.3802185058594
37,22798749,22798749,0,22799321,-89.9251480102539,29.867401123046875,3.0899999141693115,10,0.0,3600.0,0.20000000298023224,23445.0,0.03999999910593033,7.999999797903001e-05,0.08457265794277191,230.03089904785156,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,669173,0.07999999821186066,1150.1544189453125,383.38482666015625
38,22799321,22799321,0,22798751,-90.02178192138672,29.776460647583008,1.1100000143051147,10,0.0,3600.0,0.20000000298023224,11193.0,0.03999999910593033,9.999999747378752e-06,0.08457261323928833,230.0311737060547,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,655220,0.07999999821186066,1150.1558837890625,383.3852844238281
39,22798751,22798751,0,22811925,-89.86698913574219,29.60671615600586,1.1100000143051147,10,0.0,3600.0,0.20000000298023224,40900.0,0.03999999910593033,9.999999747378752e-06,0.084572434425354,230.03224182128906,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,663236,0.07999999821186066,1150.1611328125,383.3870544433594
40,22811925,22811925,0,22811923,-89.69380187988281,29.486371994018555,0.9700000286102295,10,0.0,3600.0,0.20000000298023224,3607.0,0.03999999910593033,5.999999848427251e-05,0.08457242697477341,230.03231811523438,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,650067,0.07999999821186066,1150.16162109375,383.38720703125
41,22811923,22811923,0,22814447,-89.61032104492188,29.45245933532715,0.75,10,0.0,3600.0,0.20000000298023224,15650.0,0.03999999910593033,9.999999747378752e-06,0.08457230776548386,230.03302001953125,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585019,0.07999999821186066,1150.1651611328125,383.38836669921875
42,22814447,22814447,0,22814637,-89.55870819091797,29.371170043945312,0.75,10,0.0,3600.0,0.20000000298023224,6314.0,0.03999999910593033,9.999999747378752e-06,0.08457228541374207,230.03318786621094,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585020,0.07999999821186066,1150.166015625,383.388671875
43,22814637,22814637,0,22811921,-89.49671936035156,29.3481502532959,0.75,10,0.0,3600.0,0.20000000298023224,7031.0,0.03999999910593033,9.999999747378752e-06,0.08457225561141968,230.03338623046875,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585022,0.07999999821186066,1150.1668701171875,383.38897705078125
44,22811921,22811921,0,22811951,-89.43489837646484,29.358694076538086,0.75,10,0.0,3600.0,0.20000000298023224,7023.0,0.03999999910593033,9.999999747378752e-06,0.0845722183585167,230.03359985351562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,608202,0.07999999821186066,1150.1680908203125,383.38934326171875
45,22811951,22811951,0,22812021,-89.3793716430664,29.316448211669922,0.75,10,0.0,3600.0,0.20000000298023224,7594.0,0.03999999910593033,9.999999747378752e-06,0.08457218110561371,230.0338134765625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585025,0.07999999821186066,1150.1690673828125,383.3896789550781
46,22812021,22812021,0,22812037,-89.35369873046875,29.28293228149414,0.75,10,0.0,3600.0,0.20000000298023224,1307.0,0.03999999910593033,9.999999747378752e-06,0.08457218110561371,230.03384399414062,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,669174,0.07999999821186066,1150.169189453125,383.3897399902344
47,22812037,22812037,0,22812035,-89.31693267822266,29.25235939025879,0.75,10,0.0,3600.0,0.20000000298023224,8673.0,0.03999999910593033,2.9999999242136255e-05,0.08457213640213013,230.0341033935547,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,540006,0.07999999821186066,1150.1705322265625,383.39019775390625
48,22812035,22812035,0,22812041,-89.28173065185547,29.206933975219727,0.5199999809265137,10,0.0,3600.0,0.20000000298023224,3526.0,0.03999999910593033,9.999999747378752e-06,0.08457211405038834,230.03424072265625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,635429,0.07999999821186066,1150.171142578125,383.390380859375
49,22812041,22812041,0,22811543,-89.26362609863281,29.177265167236328,0.5199999809265137,10,0.0,3600.0,0.20000000298023224,3970.0,0.03999999910593033,1.9999999494757503e-05,0.08457209169864655,230.0343780517578,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,685357,0.07999999821186066,1150.171875,383.390625
50,22811543,22811543,0,22811621,-89.23658752441406,29.146448135375977,0.4300000071525574,10,0.0,3600.0,0.20000000298023224,4872.0,0.03999999910593033,9.000000136438757e-05,0.08457206934690475,230.0345001220703,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,540016,0.07999999821186066,1150.1724853515625,383.3908386230469
51,22811621,22811621,0,22812059,-89.19281005859375,29.154888153076172,0.009999999776482582,10,0.0,3600.0,0.20000000298023224,4703.0,0.03999999910593033,9.999999747378752e-06,0.08457206189632416,230.03457641601562,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,540026,0.07999999821186066,1150.1728515625,383.3909606933594
52,22812059,22812059,0,22814591,-89.16227722167969,29.157485961914062,0.009999999776482582,10,0.0,3600.0,0.20000000298023224,1529.0,0.03999999910593033,9.999999747378752e-06,0.08457205444574356,230.0345916748047,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,540032,0.07999999821186066,1150.1729736328125,383.3909912109375
53,22814591,22814591,0,22812065,-89.15474700927734,29.152999877929688,0.009999999776482582,10,0.0,3600.0,0.20000000298023224,234.0,0.03999999910593033,9.999999747378752e-06,0.08457205444574356,230.03460693359375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,608209,0.07999999821186066,1150.1729736328125,383.3909912109375
54,22812065,22812065,0,22812063,-89.14734649658203,29.13869285583496,0.009999999776482582,10,0.0,3600.0,0.20000000298023224,3148.0,0.03999999910593033,1.9999999494757503e-05,0.08457203209400177,230.03472900390625,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,643704,0.07999999821186066,1150.173583984375,383.3912048339844
55,22812063,22812063,0,22812067,-89.11672973632812,29.132320404052734,-0.03999999910593033,10,0.0,3600.0,0.20000000298023224,3497.0,0.03999999910593033,9.999999747378752e-06,0.08457202464342117,230.03480529785156,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585034,0.07999999821186066,1150.1739501953125,383.3913269042969
56,22812067,22812067,0,22811613,-89.0843505859375,29.124483108520508,-0.03999999910593033,10,0.0,3600.0,0.20000000298023224,3073.0,0.03999999910593033,9.999999747378752e-06,0.08457200229167938,230.034912109375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,624696,0.07999999821186066,1150.174560546875,383.39154052734375
57,22811613,22811613,0,22811611,-89.0583724975586,29.124160766601562,-0.03999999910593033,10,0.0,3600.0,0.20000000298023224,2692.0,0.03999999910593033,9.999999747378752e-06,0.08457199484109879,230.03497314453125,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585043,0.07999999821186066,1150.1748046875,383.3916320800781
58,22811611,22811611,0,0,-89.03870391845703,29.13465690612793,-0.03999999910593033,10,0.0,3600.0,0.20000000298023224,1808.0,0.03999999910593033,1.9999999494757503e-05,0.08457199484109879,230.0349884033203,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,635432,0.07999999821186066,1150.1749267578125,383.39166259765625
